time,value
2024-09-02T01:33:10.964808702Z,200
2024-09-02T01:33:11.964025444Z,200
2024-09-02T01:33:13.003242667Z,200
2024-09-02T01:33:14.052805416Z,200
2024-09-02T01:33:15.018117946Z,200
2024-09-02T01:33:16.263508803Z,200
2024-09-02T01:33:17.193975027Z,200
2024-09-02T01:33:17.999257552Z,200
2024-09-02T01:33:19.012416498Z,200
2024-09-02T01:33:20.414170526Z,200
2024-09-02T01:33:21.311686584Z,200
2024-09-02T01:33:22.32278155Z,200
2024-09-02T01:33:23.319431646Z,200
2024-09-02T01:33:24.3390276Z,200
2024-09-02T01:33:25.743319454Z,200
2024-09-02T01:33:26.319084444Z,200
2024-09-02T01:33:27.365188677Z,200
2024-09-02T01:34:36.637140807Z,200
2024-09-02T01:35:36.592581285Z,200
2024-09-02T01:36:40.928600356Z,195
2024-09-02T01:37:41.277052402Z,210
2024-09-02T01:38:40.956849502Z,198
2024-09-02T01:39:40.980562501Z,194
2024-09-02T01:40:40.972732514Z,183
2024-09-02T01:45:11.446806774Z,211
2024-09-02T01:46:32.22077544Z,220
2024-09-02T02:14:58.826043935Z,24
2024-09-02T02:15:58.86616144Z,20
2024-09-02T02:16:58.897239656Z,40
2024-09-02T02:17:58.897487687Z,28
2024-09-02T02:21:00.760718073Z,46
2024-09-02T02:22:00.745250615Z,42
2024-09-02T02:23:00.761268407Z,38
2024-09-02T02:24:00.805922833Z,34
2024-09-02T02:25:00.794677953Z,41
2024-09-02T02:26:00.823735589Z,49
2024-09-02T02:27:00.813207432Z,21
2024-09-02T02:28:00.794567967Z,21
2024-09-02T02:31:02.797105392Z,35
2024-09-02T02:32:02.814645063Z,36
2024-09-02T02:33:02.788922215Z,56
2024-09-02T02:34:02.911952362Z,40
2024-09-02T02:35:02.917923145Z,36
2024-09-02T02:36:02.833297357Z,44
2024-09-02T02:37:03.639456456Z,12
2024-09-02T02:39:04.676660104Z,40
2024-09-02T02:40:04.678416087Z,36
2024-09-02T02:42:33.799693071Z,69
2024-09-02T02:43:33.79598916Z,37
2024-09-02T02:44:52.25585187Z,45
2024-09-02T02:50:14.742626859Z,29
2024-09-02T02:58:03.548282295Z,214
