time,value
2024-09-02T01:33:10.964808702Z,-3
2024-09-02T01:33:11.964025444Z,33.5
2024-09-02T01:33:13.003242667Z,32.5
2024-09-02T01:33:14.052805416Z,30
2024-09-02T01:33:15.018117946Z,30.5
2024-09-02T01:33:16.263508803Z,28
2024-09-02T01:33:17.193975027Z,28.5
2024-09-02T01:33:17.999257552Z,30.5
2024-09-02T01:33:19.012416498Z,30
2024-09-02T01:33:20.414170526Z,29.5
2024-09-02T01:33:21.311686584Z,38.5
2024-09-02T01:33:22.32278155Z,34.5
2024-09-02T01:33:23.319431646Z,40
2024-09-02T01:33:24.3390276Z,27.5
2024-09-02T01:33:25.743319454Z,30
2024-09-02T01:33:26.319084444Z,30
2024-09-02T01:33:27.365188677Z,37
2024-09-02T01:34:36.637140807Z,57.5
2024-09-02T01:35:36.592581285Z,32
2024-09-02T01:36:40.928600356Z,45.5
2024-09-02T01:37:41.277052402Z,28
2024-09-02T01:38:40.956849502Z,31
2024-09-02T01:39:40.980562501Z,36.5
2024-09-02T01:40:40.972732514Z,27
2024-09-02T01:45:11.446806774Z,54.5
2024-09-02T01:46:32.22077544Z,54.5
2024-09-02T02:14:58.826043935Z,57
2024-09-02T02:15:58.86616144Z,57
2024-09-02T02:16:58.897239656Z,57
2024-09-02T02:17:58.897487687Z,57
2024-09-02T02:21:00.760718073Z,57
2024-09-02T02:22:00.745250615Z,57
2024-09-02T02:23:00.761268407Z,57
2024-09-02T02:24:00.805922833Z,57
2024-09-02T02:25:00.794677953Z,57
2024-09-02T02:26:00.823735589Z,57
2024-09-02T02:27:00.813207432Z,57
2024-09-02T02:28:00.794567967Z,57
2024-09-02T02:31:02.797105392Z,57
2024-09-02T02:32:02.814645063Z,57
2024-09-02T02:33:02.788922215Z,57
2024-09-02T02:34:02.911952362Z,57
2024-09-02T02:35:02.917923145Z,57
2024-09-02T02:36:02.833297357Z,57
2024-09-02T02:37:03.639456456Z,57
2024-09-02T02:39:04.676660104Z,57
2024-09-02T02:40:04.678416087Z,57
2024-09-02T02:42:33.799693071Z,57
2024-09-02T02:43:33.79598916Z,57
2024-09-02T02:44:52.25585187Z,57
2024-09-02T02:50:14.742626859Z,56.5
