time,value
2024-07-24T01:57:07.118623169Z,17
2024-07-24T01:57:12.422124733Z,39
2024-07-24T01:57:13.863732973Z,16
2024-07-24T01:57:14.291243578Z,15
2024-07-24T01:57:15.703243282Z,17
2024-07-24T01:57:16.949209056Z,16
2024-07-24T01:57:17.352074771Z,18
2024-07-24T01:57:18.767385483Z,16
2024-07-24T01:57:19.843396147Z,19
2024-07-24T01:57:22.062177277Z,17
2024-07-24T01:57:22.507539364Z,16
2024-07-24T01:57:23.902318655Z,17
2024-07-24T01:57:27.203258182Z,18
2024-07-24T01:57:28.200466128Z,15
2024-07-24T01:57:28.822187801Z,16
2024-07-24T01:57:30.040289568Z,17
2024-07-24T01:57:31.310925423Z,15
2024-07-24T01:57:32.102354403Z,16
2024-07-24T01:57:35.600371738Z,18
2024-07-24T01:57:36.270261053Z,16
2024-07-24T01:57:37.466553576Z,18
2024-07-24T01:57:38.04939928Z,15
2024-07-24T01:57:39.301114057Z,17
2024-07-24T01:57:41.573080594Z,18
2024-07-24T01:57:42.579197695Z,16
2024-07-24T01:57:45.832865427Z,17
2024-07-24T01:57:46.280894164Z,16
2024-07-24T01:57:49.930121694Z,17
2024-07-24T01:57:50.591448051Z,16
2024-07-24T01:57:53.220412539Z,17
2024-07-24T01:57:54.833372219Z,16
2024-07-24T01:57:57.313404708Z,18
2024-07-24T01:57:57.702203373Z,16
2024-07-24T01:57:58.913060742Z,18
2024-07-24T01:57:59.604245863Z,17
2024-07-24T01:58:02.001942461Z,18
2024-07-24T01:58:03.081129061Z,16
2024-07-24T01:58:03.640122044Z,17
2024-07-24T01:58:05.282218028Z,18
2024-07-24T01:58:05.898758765Z,16
2024-07-24T01:58:07.200725157Z,18
2024-07-24T01:58:07.942280903Z,16
2024-07-24T01:58:20.662335652Z,17
2024-07-24T01:58:22.512373048Z,16
2024-07-24T01:58:29.250237838Z,18
2024-07-24T01:58:29.902494385Z,17
2024-07-24T01:58:30.481132059Z,16
2024-07-24T01:58:31.92129739Z,42
2024-07-24T01:58:32.541152942Z,16
2024-07-24T01:58:34.970792881Z,18
2024-07-24T01:58:35.991182901Z,17
2024-07-24T01:58:38.301311098Z,16
2024-07-24T01:58:38.890596231Z,17
2024-07-24T01:58:40.083348062Z,18
